,mac,datetime,kwhh
563149,MAC004179,2012-05-21 10:30:00,2.003
563150,MAC004179,2012-05-21 11:00:00,2.47
563151,MAC004179,2012-05-21 11:30:00,3.0090001
563152,MAC004179,2012-05-21 12:00:00,2.0409999
563153,MAC004179,2012-05-21 12:30:00,3.0179999
563154,MAC004179,2012-05-21 13:00:00,1.802
563155,MAC004179,2012-05-21 13:30:00,1.982
563156,MAC004179,2012-05-21 14:00:00,2.641
563157,MAC004179,2012-05-21 14:30:00,2.2219999
563158,MAC004179,2012-05-21 15:00:00,2.2880001
563159,MAC004179,2012-05-21 15:30:00,1.877
563160,MAC004179,2012-05-21 16:00:00,2.836
563161,MAC004179,2012-05-21 16:30:00,1.575
563162,MAC004179,2012-05-21 17:00:00,2.1059999
563163,MAC004179,2012-05-21 17:30:00,2.2969999
563164,MAC004179,2012-05-21 18:00:00,3.54
563165,MAC004179,2012-05-21 18:30:00,2.4389999
563166,MAC004179,2012-05-21 19:00:00,2.181
563167,MAC004179,2012-05-21 19:30:00,2.9360001
563168,MAC004179,2012-05-21 20:00:00,2.4419999
563169,MAC004179,2012-05-21 20:30:00,1.776
563170,MAC004179,2012-05-21 21:00:00,2.194
563171,MAC004179,2012-05-21 21:30:00,1.904
563172,MAC004179,2012-05-21 22:00:00,2.507
563173,MAC004179,2012-05-21 22:30:00,1.8099999
563174,MAC004179,2012-05-21 23:00:00,1.7079999
563175,MAC004179,2012-05-21 23:30:00,1.222
563176,MAC004179,2012-05-22 00:00:00,1.608
563177,MAC004179,2012-05-22 00:30:00,1.825
563178,MAC004179,2012-05-22 01:00:00,1.622
563179,MAC004179,2012-05-22 01:30:00,1.612
563180,MAC004179,2012-05-22 02:00:00,1.62
563181,MAC004179,2012-05-22 02:30:00,1.812
563182,MAC004179,2012-05-22 03:00:00,1.768
563183,MAC004179,2012-05-22 03:30:00,1.821
563184,MAC004179,2012-05-22 04:00:00,1.632
563185,MAC004179,2012-05-22 04:30:00,1.994
563186,MAC004179,2012-05-22 05:00:00,2.069
563187,MAC004179,2012-05-22 05:30:00,2.5880001
563188,MAC004179,2012-05-22 06:00:00,2.5139999
563189,MAC004179,2012-05-22 06:30:00,2.4530001
563190,MAC004179,2012-05-22 07:00:00,1.23
563191,MAC004179,2012-05-22 07:30:00,2.1340001
563192,MAC004179,2012-05-22 08:00:00,2.1459999
563193,MAC004179,2012-05-22 08:30:00,1.941
563194,MAC004179,2012-05-22 09:00:00,1.377
563195,MAC004179,2012-05-22 09:30:00,1.896
563196,MAC004179,2012-05-22 10:00:00,2.7219999
563197,MAC004179,2012-05-22 10:30:00,1.87
563198,MAC004179,2012-05-22 11:00:00,1.554
