,mac,datetime,kwhh
946419,MAC000985,2012-05-02 09:00:00,1.811
946420,MAC000985,2012-05-02 09:30:00,1.668
946421,MAC000985,2012-05-02 10:00:00,2.335
946422,MAC000985,2012-05-02 10:30:00,1.796
946423,MAC000985,2012-05-02 11:00:00,1.586
946424,MAC000985,2012-05-02 11:30:00,1.854
946425,MAC000985,2012-05-02 12:00:00,3.085
946426,MAC000985,2012-05-02 12:30:00,3.635
946427,MAC000985,2012-05-02 13:00:00,3.4679999
946428,MAC000985,2012-05-02 13:30:00,3.483
946429,MAC000985,2012-05-02 14:00:00,2.494
946430,MAC000985,2012-05-02 14:30:00,2.971
946431,MAC000985,2012-05-02 15:00:00,3.4590001
946432,MAC000985,2012-05-02 15:30:00,2.882
946433,MAC000985,2012-05-02 16:00:00,2.6849999
946434,MAC000985,2012-05-02 16:30:00,2.5139999
946435,MAC000985,2012-05-02 17:00:00,2.6530001
946436,MAC000985,2012-05-02 17:30:00,3.109
946437,MAC000985,2012-05-02 18:00:00,2.4300001
946438,MAC000985,2012-05-02 18:30:00,2.619
946439,MAC000985,2012-05-02 19:00:00,1.656
946440,MAC000985,2012-05-02 19:30:00,1.4529999
946441,MAC000985,2012-05-02 20:00:00,0.959
946442,MAC000985,2012-05-02 20:30:00,1.257
946443,MAC000985,2012-05-02 21:00:00,1.29
946444,MAC000985,2012-05-02 21:30:00,0.973
946445,MAC000985,2012-05-02 22:00:00,0.926
946446,MAC000985,2012-05-02 22:30:00,2.7290001
946447,MAC000985,2012-05-02 23:00:00,1.441
946448,MAC000985,2012-05-02 23:30:00,0.829
946449,MAC000985,2012-05-03 00:00:00,0.727
946450,MAC000985,2012-05-03 00:30:00,0.728
946451,MAC000985,2012-05-03 01:00:00,0.761
946452,MAC000985,2012-05-03 01:30:00,0.739
946453,MAC000985,2012-05-03 02:00:00,0.731
946454,MAC000985,2012-05-03 02:30:00,0.767
946455,MAC000985,2012-05-03 03:00:00,0.735
946456,MAC000985,2012-05-03 03:30:00,0.74
946457,MAC000985,2012-05-03 04:00:00,0.758
946458,MAC000985,2012-05-03 04:30:00,0.763
946459,MAC000985,2012-05-03 05:00:00,0.742
946460,MAC000985,2012-05-03 05:30:00,0.727
946461,MAC000985,2012-05-03 06:00:00,0.795
946462,MAC000985,2012-05-03 06:30:00,0.84
946463,MAC000985,2012-05-03 07:00:00,0.845
946464,MAC000985,2012-05-03 07:30:00,1.284
946465,MAC000985,2012-05-03 08:00:00,1.299
946466,MAC000985,2012-05-03 08:30:00,2.1429999
946467,MAC000985,2012-05-03 09:00:00,1.873
946468,MAC000985,2012-05-03 09:30:00,2.0179999
946469,MAC000985,2012-05-03 10:00:00,1.806
946470,MAC000985,2012-05-03 10:30:00,2.0439999
946471,MAC000985,2012-05-03 11:00:00,1.91
946472,MAC000985,2012-05-03 11:30:00,2.0829999
946473,MAC000985,2012-05-03 12:00:00,1.7640001
946474,MAC000985,2012-05-03 12:30:00,1.693
946475,MAC000985,2012-05-03 13:00:00,1.99
946476,MAC000985,2012-05-03 13:30:00,2.842
946477,MAC000985,2012-05-03 14:00:00,2.677
946478,MAC000985,2012-05-03 14:30:00,2.846
946479,MAC000985,2012-05-03 15:00:00,2.414
946480,MAC000985,2012-05-03 15:30:00,2.1789999
946481,MAC000985,2012-05-03 16:00:00,1.4910001
946482,MAC000985,2012-05-03 16:30:00,1.323
946483,MAC000985,2012-05-03 17:00:00,1.189
946484,MAC000985,2012-05-03 17:30:00,1.2539999
946485,MAC000985,2012-05-03 18:00:00,1.4220001
946486,MAC000985,2012-05-03 18:30:00,1.641
946487,MAC000985,2012-05-03 19:00:00,2.1789999
946488,MAC000985,2012-05-03 19:30:00,1.71
946489,MAC000985,2012-05-03 20:00:00,1.9119999
946490,MAC000985,2012-05-03 20:30:00,2.026
946491,MAC000985,2012-05-03 21:00:00,2.033
946492,MAC000985,2012-05-03 21:30:00,2.036
946493,MAC000985,2012-05-03 22:00:00,1.6950001
946494,MAC000985,2012-05-03 22:30:00,1.581
946495,MAC000985,2012-05-03 23:00:00,1.5650001
946496,MAC000985,2012-05-03 23:30:00,1.04
946497,MAC000985,2012-05-04 00:00:00,0.851
946498,MAC000985,2012-05-04 00:30:00,0.899
946499,MAC000985,2012-05-04 01:00:00,0.838
946500,MAC000985,2012-05-04 01:30:00,0.859
946501,MAC000985,2012-05-04 02:00:00,0.906
946502,MAC000985,2012-05-04 02:30:00,0.927
946503,MAC000985,2012-05-04 03:00:00,0.902
946504,MAC000985,2012-05-04 03:30:00,0.903
946505,MAC000985,2012-05-04 04:00:00,0.915
946506,MAC000985,2012-05-04 04:30:00,0.925
946507,MAC000985,2012-05-04 05:00:00,0.879
946508,MAC000985,2012-05-04 05:30:00,1.0779999
946509,MAC000985,2012-05-04 06:00:00,1.847
946510,MAC000985,2012-05-04 06:30:00,2.1559999
946511,MAC000985,2012-05-04 07:00:00,2.0869999
946512,MAC000985,2012-05-04 07:30:00,1.921
946513,MAC000985,2012-05-04 08:00:00,2.8540001
946514,MAC000985,2012-05-04 08:30:00,2.8940001
946515,MAC000985,2012-05-04 09:00:00,2.619
946516,MAC000985,2012-05-04 09:30:00,2.21
946517,MAC000985,2012-05-04 10:00:00,2.2609999
946518,MAC000985,2012-05-04 10:30:00,1.732
946519,MAC000985,2012-05-04 11:00:00,1.367
946520,MAC000985,2012-05-04 11:30:00,1.268
946521,MAC000985,2012-05-04 12:00:00,0.831
946522,MAC000985,2012-05-04 12:30:00,0.855
946523,MAC000985,2012-05-04 13:00:00,0.824
946524,MAC000985,2012-05-04 13:30:00,0.78
946525,MAC000985,2012-05-04 14:00:00,0.834
946526,MAC000985,2012-05-04 14:30:00,0.818
946527,MAC000985,2012-05-04 15:00:00,0.827
946528,MAC000985,2012-05-04 15:30:00,0.808
946529,MAC000985,2012-05-04 16:00:00,0.831
946530,MAC000985,2012-05-04 16:30:00,0.919
946531,MAC000985,2012-05-04 17:00:00,0.882
946532,MAC000985,2012-05-04 17:30:00,0.885
946533,MAC000985,2012-05-04 18:00:00,0.872
946534,MAC000985,2012-05-04 18:30:00,1.091
946535,MAC000985,2012-05-04 19:00:00,1.761
