,mac,datetime,kwhh
691354,MAC000584,2012-04-12 08:00:00,0.059
691355,MAC000584,2012-04-12 08:30:00,0.031
691356,MAC000584,2012-04-12 09:00:00,0.035
691357,MAC000584,2012-04-12 09:30:00,0.01
691358,MAC000584,2012-04-12 10:00:00,0.011
691359,MAC000584,2012-04-12 10:30:00,0.014
691360,MAC000584,2012-04-12 11:00:00,0.026
691361,MAC000584,2012-04-12 11:30:00,0.025
691362,MAC000584,2012-04-12 12:00:00,0.013
691363,MAC000584,2012-04-12 12:30:00,0.015
691364,MAC000584,2012-04-12 13:00:00,0.024
691365,MAC000584,2012-04-12 13:30:00,0.029
691366,MAC000584,2012-04-12 14:00:00,0.024
691367,MAC000584,2012-04-12 14:30:00,0.063
691368,MAC000584,2012-04-12 15:00:00,0.068
691369,MAC000584,2012-04-12 15:30:00,0.116
691370,MAC000584,2012-04-12 16:00:00,0.105
691371,MAC000584,2012-04-12 16:30:00,0.104
691372,MAC000584,2012-04-12 17:00:00,0.487
691373,MAC000584,2012-04-12 17:30:00,0.424
691374,MAC000584,2012-04-12 18:00:00,0.076
691375,MAC000584,2012-04-12 18:30:00,0.078
691376,MAC000584,2012-04-12 19:00:00,0.129
691377,MAC000584,2012-04-12 19:30:00,0.09
691378,MAC000584,2012-04-12 20:00:00,0.23
691379,MAC000584,2012-04-12 20:30:00,0.071
691380,MAC000584,2012-04-12 21:00:00,0.071
691381,MAC000584,2012-04-12 21:30:00,0.103
691382,MAC000584,2012-04-12 22:00:00,0.045
691383,MAC000584,2012-04-12 22:30:00,0.034
691384,MAC000584,2012-04-12 23:00:00,0.014
691385,MAC000584,2012-04-12 23:30:00,0.012
691386,MAC000584,2012-04-13 00:00:00,0.014
691387,MAC000584,2012-04-13 00:30:00,0.022
691388,MAC000584,2012-04-13 01:00:00,0.03
691389,MAC000584,2012-04-13 01:30:00,0.011
691390,MAC000584,2012-04-13 02:00:00,0.015
691391,MAC000584,2012-04-13 02:30:00,0.014
691392,MAC000584,2012-04-13 03:00:00,0.042
691393,MAC000584,2012-04-13 03:30:00,0.026
691394,MAC000584,2012-04-13 04:00:00,0.015
691395,MAC000584,2012-04-13 04:30:00,0.014
691396,MAC000584,2012-04-13 05:00:00,0.03
691397,MAC000584,2012-04-13 05:30:00,0.019
691398,MAC000584,2012-04-13 06:00:00,0.014
691399,MAC000584,2012-04-13 06:30:00,0.14
691400,MAC000584,2012-04-13 07:00:00,0.083
691401,MAC000584,2012-04-13 07:30:00,0.07
691402,MAC000584,2012-04-13 08:00:00,0.059
691403,MAC000584,2012-04-13 08:30:00,0.022
691404,MAC000584,2012-04-13 09:00:00,0.012
691405,MAC000584,2012-04-13 09:30:00,0.021
691406,MAC000584,2012-04-13 10:00:00,0.031
691407,MAC000584,2012-04-13 10:30:00,0.011
691408,MAC000584,2012-04-13 11:00:00,0.014
691409,MAC000584,2012-04-13 11:30:00,0.015
691410,MAC000584,2012-04-13 12:00:00,0.032
691411,MAC000584,2012-04-13 12:30:00,0.016
691412,MAC000584,2012-04-13 13:00:00,0.014
691413,MAC000584,2012-04-13 13:30:00,0.355
691414,MAC000584,2012-04-13 14:00:00,0.067
691415,MAC000584,2012-04-13 14:30:00,0.018
691416,MAC000584,2012-04-13 15:00:00,0.013
691417,MAC000584,2012-04-13 15:30:00,0.015
691418,MAC000584,2012-04-13 16:00:00,0.036
691419,MAC000584,2012-04-13 16:30:00,0.071
691420,MAC000584,2012-04-13 17:00:00,0.069
691421,MAC000584,2012-04-13 17:30:00,0.108
691422,MAC000584,2012-04-13 18:00:00,0.112
691423,MAC000584,2012-04-13 18:30:00,0.072
691424,MAC000584,2012-04-13 19:00:00,0.056
691425,MAC000584,2012-04-13 19:30:00,0.169
691426,MAC000584,2012-04-13 20:00:00,0.134
691427,MAC000584,2012-04-13 20:30:00,0.1
691428,MAC000584,2012-04-13 21:00:00,0.1
691429,MAC000584,2012-04-13 21:30:00,0.136
691430,MAC000584,2012-04-13 22:00:00,0.055
691431,MAC000584,2012-04-13 22:30:00,0.013
691432,MAC000584,2012-04-13 23:00:00,0.014
691433,MAC000584,2012-04-13 23:30:00,0.034
691434,MAC000584,2012-04-14 00:00:00,0.014
691435,MAC000584,2012-04-14 00:30:00,0.014
691436,MAC000584,2012-04-14 01:00:00,0.014
691437,MAC000584,2012-04-14 01:30:00,0.028
691438,MAC000584,2012-04-14 02:00:00,0.032
691439,MAC000584,2012-04-14 02:30:00,0.013
691440,MAC000584,2012-04-14 03:00:00,0.014
691441,MAC000584,2012-04-14 03:30:00,0.024
691442,MAC000584,2012-04-14 04:00:00,0.026
691443,MAC000584,2012-04-14 04:30:00,0.013
691444,MAC000584,2012-04-14 05:00:00,0.014
691445,MAC000584,2012-04-14 05:30:00,0.021
691446,MAC000584,2012-04-14 06:00:00,0.147
691447,MAC000584,2012-04-14 06:30:00,0.05
691448,MAC000584,2012-04-14 07:00:00,0.054
691449,MAC000584,2012-04-14 07:30:00,0.022
691450,MAC000584,2012-04-14 08:00:00,0.027
691451,MAC000584,2012-04-14 08:30:00,0.011
691452,MAC000584,2012-04-14 09:00:00,0.015
691453,MAC000584,2012-04-14 09:30:00,0.018
691454,MAC000584,2012-04-14 10:00:00,0.031
691455,MAC000584,2012-04-14 10:30:00,0.012
691456,MAC000584,2012-04-14 11:00:00,0.014
691457,MAC000584,2012-04-14 11:30:00,0.018
691458,MAC000584,2012-04-14 12:00:00,0.031
691459,MAC000584,2012-04-14 12:30:00,0.012
691460,MAC000584,2012-04-14 13:00:00,0.014
691461,MAC000584,2012-04-14 13:30:00,0.016
